code,name,year,description
XXXART,Art,All,art dept
XXXBIO,Biology,All,bio dept
XXXCHEM,Chemistry,All,chem dept
XXXPHYS,Physics,All,phys dept
XXXENG,English,All,eng dept
XXXMATH,Math,All,math dept
XXXCS,Computer Science,All,cs dept
XXXSS,Social Studies,All,ss dept
XXXHPE,Health and Physical Education,All,phys ed dept
XXXLANG,World Languages,All,lang dept
XXXTECH,Technology,All,tech dept
SLS43,Modern Biology,Freshmen,freshman bio
SLS43QM,Molecular Biology,Juniors,junior bio
SBS11QBT,Biological Lab Techniques,Sophomores,bio elec
SWS11QLZ,Vertebrate Zoology,Sophomores,bio elec
SFS11QFS,Forensic Science,Juniors and Seniors,bio elec
SES11QUE,Urban Ecology,Juniors and Seniors,bio elec
SBS43X,AP Biology,Juniors and Seniors,ap bio
SWS21X,AP Environmental Science,Juniors and Seniors,ap enviro
SQS21X,AP Psychology,Juniors and Seniors,ap psyc
AHS11,Art Appreciation,Freshmen,art app
APS21QAP,Acrylic Painting,Seniors,acrylic painting
AUS11QCG,Computer Graphics Design,Juniors and Seniors,comp graph design
ANS11QAS,Mixed Media,All,mixed media
APS11QWC,Water Color,All,water color
MKS21,Intro CS,Sophomores,Introduction to Computer Science
MKS21X,AP Computer Science,Juniors and Seniors,ap cs
MKS65C,Systems Level Programming,Seniors,systems
MKS66C,Computer Graphics,Seniors,graphics
HGS41,Global History,Freshmen,first term global
HPS21X,AP Human Geography,Sophomores, AP HuG
HGS43,Global History 3,Sophomores,sophomore global history
HGS43XW,AP World History,Sophomores,APWorld
HGS43XE,AP European History,Sophomores,APEuro
HUS21,US History,Juniors,UGH
HUS21X,AP US History,Juniors,APUSH
HVS11,American Government,Seniors,Gov
HVS11X,AP American Government,Seniors,APGov
HTS11X,AP Comparative Government,Seniors,APComp.Gov
HES11,Economics,Seniors,Econ
HVS11XG,AP US Government and Politics Integrated with Economics,Seniors,APGovInt
HES21X,AP Macroeconomics,Seniors,Macro
HES22X,AP Microeconomics,Seniors,Micro
HRS11QGP,Geopolitics,Juniors and Seniors,Geopolitics
HSS85QJI,Intel Research Social Science,Juniors and Seniors,Intel
HRS11QSS,Intelligence and Security Studies,Juniors and Seniors,Intelligence and Security Studies
HRS11QMC,Modern China,Juniors and Seniors,Modern China
HRS11QNY,New York City History,Juniors and Seniors,NYC History
HL22QQL,Topics in Law,Juniors and Seniors,Law
HES11QWS,Wall Street,Juniors and Seniors,Wall Street
HRS11QEJ,Wanderings: The World Through The Jewish Experience,Juniors and Seniors,Jewish History
HRS21QPT,Western Political Thought,Juniors and Seniors,Donald Trump
HBS21X,AP Social Psychology,Juniors and Seniors,Social Psych
